No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
705,2011,CONSTRUCTION ,"2,000,001",GOOD,"528,204",44,n.a.,"3,358","5,028,809","13,869,888","5,028,809","13,873,246","4,633,173","11,223,383","4,633,173","11,223,803","5,000","5,000","390,636","2,644,443","395,636","2,649,443","7,117,464","47,950,935","488,370","2,874,455","390,636","2,253,807"
706,2008,CONSTRUCTION ,"750,001",GOOD,"267,200",48,"160,181","115,647","1,948,037","1,733,734","2,108,218","1,849,381","1,047,344","807,494","1,199,117","933,963","750,000","750,000","159,101","165,418","909,101","915,418","1,133,385","683,933","-18,321","19,909","-35,736","6,317"
707,2008,CONSTRUCTION ,"750,001",GOOD,"725,200",36,"29,912,231","34,671,328","44,950,621","53,576,197","74,862,852","88,247,525","66,281,520","72,868,185","68,225,299","78,957,675","750,000","750,000","-1,743,011","8,539,850","6,637,553","9,289,850","131,558,321","169,399,927","5,761,385","12,496,751","5,018,896","10,282,861"
708,2011,CONSTRUCTION ,"750,001",GOOD,"885,866",51,n.a.,"7,328","552,331","740,827","552,331","748,155","150,420","170,442","513,079","282,082","50,000","500,000","-10,748","-33,927","39,252","466,073","250,000","114,800","-10,546","-23,179","-10,748","-23,179"
709,1984,CONSTRUCTION ,"300,001",GOOD,"261,000",42,"691,294","1,218,918","890,788","880,745","1,582,082","2,099,663","1,135,544","1,567,684","1,220,331","1,783,106","200,000","200,000","161,751","116,557","361,751","316,557","1,131,561","1,571,044","-46,340","6,324","-55,671","-45,194"
710,1984,CONSTRUCTION ,"3,700,002",GOOD,"2,385,000",32,n.a.,"642,040",n.a.,"3,654,247",n.a.,"4,296,287",n.a.,"4,664,241",n.a.,"4,664,241",n.a.,"300,000",n.a.,"-667,954",n.a.,"-367,954",n.a.,"32,054,201",n.a.,"472,064",n.a.,"472,064"
711,2012,CONSTRUCTION ,"15,000,002",GOOD,"13,614",60,"21,317,338","49,822,287","27,516,852","48,340,436","48,834,190","98,162,723","37,742,095","83,503,070","39,417,020","85,697,532","5,000,000","5,000,000","4,417,170","7,465,191","9,417,170","12,465,191","88,163,965","88,605,403","1,348,467","3,476,688","1,348,467","3,048,021"
712,2008,CONSTRUCTION ,"1,000,000",GOOD,"1,061,000",42,"1,932,416","1,389,737","6,381,334","12,489,976","8,313,750","13,879,713","5,491,457","10,320,659","6,458,622","11,583,571","1,000,000","1,000,000","855,128","1,296,142","1,855,128","2,296,142","14,351,434","29,198,453","338,879","597,196","232,670","441,014"
713,2012,CONSTRUCTION ,"100,000",GOOD,"285,000",60,"3,497,753","3,028,340","2,485,888","1,884,484","5,983,641","4,912,824","3,373,000","2,357,859","5,320,083","3,523,319","100,000","100,000","563,558","1,289,505","663,558","1,389,505","19,513,477","15,552,205","-330,223","790,444","-339,977","725,947"
714,1990,CONSTRUCTION ,"1,000,000",GOOD,"214,000",36,"14,176,121","9,621,002","76,360,487","78,875,970","90,536,608","88,496,972","77,210,210","75,121,948","78,826,267","76,092,229","1,000,000","1,000,000","10,710,341","11,404,743","11,710,341","12,404,743","99,689,400","100,283,969","1,290,973","808,220","951,871","694,402"
715,2004,CONSTRUCTION ,"1,500,000",GOOD,"647,500",24,"3,807,120","5,120,561","11,126,805","10,346,975","14,933,925","15,467,535","8,513,810","6,977,388","11,551,978","10,799,092","1,000,000","1,000,000","2,381,947","3,668,443","3,381,947","4,668,443","28,807,022","45,873,033","1,425,079","1,756,496","1,022,997","1,286,496"
716,1983,CONSTRUCTION ,"2,916,000",GOOD,"149,600",36,"7,055,195","5,363,853","18,946,841","17,567,561","26,002,036","22,931,414","12,195,824","10,104,711","15,081,447","12,856,130","2,916,000","2,916,000","7,387,549","7,159,284","10,303,549","10,075,284","34,535,462","30,950,214","-1,496,636","375,152","-2,040,798","-228,265"
717,1994,CONSTRUCTION ,"500,000",GOOD,"405,000",48,"1,997,919","1,734,700","1,543,297","2,886,037","3,541,216","4,620,737","1,813,760","2,942,399","2,448,550","3,345,365","500,000","500,000","592,666","775,372","1,092,666","1,275,372","4,051,656","5,631,575","29,326","231,616","15,245","182,706"
718,2005,CONSTRUCTION ,"250,000",GOOD,"224,000",36,"5,702,499","6,342,496","4,073,862","4,845,449","9,776,361","11,187,945","6,736,118","7,700,625","7,931,882","8,875,951","250,000","250,000","1,594,479","2,061,994","1,844,479","2,311,994","22,922,252","23,094,315","316,730","610,391","216,496","467,515"
719,2007,CONSTRUCTION ,"2,200,002",GOOD,"626,650",30,"1,416,934","785,452","3,651,046","7,242,098","5,067,980","8,027,550","4,523,598","5,570,380","5,162,957","6,476,728","400,002","2,200,002","-494,979","-649,180","-94,977","1,550,822","8,052,779","7,988,230","111,345","-148,401","111,345","-154,201"
720,2014,CONSTRUCTION ,"100,000",GOOD,"85,600",30,"263,733","491,720","1,656,730","913,807","1,920,463","1,405,527","1,603,685","1,009,549","1,733,344","1,188,730","100,000","100,000","87,119","116,797","187,119","216,797","4,215,111","3,447,784","20,738","55,711","5,335","29,678"
721,1997,CONSTRUCTION ,"1,300,002",GOOD,"14,354",60,n.a.,"1,561,312",n.a.,"15,310,127",n.a.,"16,871,439",n.a.,"13,486,442",n.a.,"14,527,787",n.a.,"1,300,001",n.a.,"1,043,651",n.a.,"2,343,652",n.a.,"32,895,470",n.a.,"72,538",n.a.,"-12,215"
722,2005,CONSTRUCTION ,"250,101",GOOD,"60,000",36,"256,938","385,357","575,077","1,102,814","832,015","1,488,171","576,103","1,046,838","656,873","1,296,555","250,100","250,100","-74,958","-58,484","175,142","191,616","2,027,516","3,892,956","113,762","51,306","96,093","16,475"
723,2008,CONSTRUCTION ,"250,001",GOOD,"150,000",36,"147,329",n.a.,"675,159",n.a.,"822,488",n.a.,"363,441",n.a.,"437,075",n.a.,"250,000",n.a.,"135,413",n.a.,"385,413",n.a.,"1,336,197",n.a.,"32,157",n.a.,"22,538",n.a.
724,2011,CONSTRUCTION ,"500,001",GOOD,"7,550,135",48,n.a.,"597,572",n.a.,"3,001,036",n.a.,"3,598,608",n.a.,"4,012,278",n.a.,"4,285,313",n.a.,100,n.a.,"-686,805",n.a.,"-686,705",n.a.,"13,281,579",n.a.,"-686,805",n.a.,"-686,805"
725,1994,CONSTRUCTION ,"1,500,001",GOOD,"18,850",60,"1,692,498","1,513,237","3,817,703","3,186,328","5,510,201","4,699,565","2,455,601","2,482,582","3,442,473","3,343,305","750,000","750,000","1,317,728","606,260","2,067,728","1,356,260","4,147,104","1,747,600","99,962","-715,852","3,673","-711,468"
726,1995,CONSTRUCTION ,"1,300,001",GOOD,"70,822",60,"2,586,178","6,301,262","33,811,435","12,873,640","36,397,613","19,174,902","33,680,898","15,057,304","33,988,215","15,108,613","755,000","755,000","1,654,398","3,311,289","2,409,398","4,066,289","83,250,147","42,158,896","1,104,595","2,204,630","774,893","1,656,891"
727,1993,CONSTRUCTION ,"500,001",GOOD,"13,457",60,"765,107","1,008,339","7,686,268","8,318,474","8,451,375","9,326,813","1,107,755","1,494,912","1,107,755","1,494,912","500,000","500,000","6,840,739","7,331,901","7,343,620","7,831,901","8,154,582","9,811,002","1,658,808","1,851,674","1,189,766","1,491,162"
728,2006,CONSTRUCTION ,"165,001",GOOD,"71,750",36,"565,669","755,164","2,446,399","2,406,693","3,012,068","3,161,857","2,057,181","1,831,426","2,370,176","2,229,676","165,000","165,000","476,892","767,181","641,892","932,181","8,005,691","10,252,379","110,946","354,652","67,946","290,289"
729,1994,CONSTRUCTION ,"900,001",GOOD,"669,900",52,"2,850,479","2,581,177","5,915,248","7,073,828","8,765,727","9,655,005","6,668,844","7,764,711","7,780,695","8,683,890","900,000","900,000","-270,625","-297,668","629,375","602,332","15,092,783","16,262,983","-247,843","36,110","-339,932","-13,917"
730,1989,CONSTRUCTION ,"1,000,001",GOOD,"3,638,952",36,"30,701,094","36,270,207","124,149,076","165,735,583","154,850,170","202,005,790","115,210,016","152,860,810","133,135,203","170,385,004","1,000,000","1,000,000","20,534,700","30,440,481","21,714,869","31,620,650","63,991,103","136,478,500","10,124,097","13,546,138","10,124,055","9,905,819"
731,1996,CONSTRUCTION ,"500,001",GOOD,"70,200",36,"5,275,122","7,551,897","13,580,296","13,503,700","18,855,418","21,055,597","12,107,837","12,832,474","16,655,071","18,469,606","500,000","500,000","1,700,347","2,085,991","2,200,347","2,585,991","11,644,860","10,198,154","117,355","550,431","-9,349","385,644"
732,2014,CONSTRUCTION ,"250,002",GOOD,"282,000",36,"1,918,488","2,641,730","1,957,141","2,510,737","3,875,629","5,152,467","3,252,849","4,517,164","3,919,459","5,263,653","1,000","250,000","-44,830","-361,186","-43,830","-111,186","2,463,844","5,394,706","26,914","-316,356","-44,830","-316,356"
733,1992,CONSTRUCTION ,"1,000,102",GOOD,"25,710",60,"597,200","1,446,604","101,649,033","92,655,714","102,246,233","94,102,319","99,318,987","90,585,452","99,617,942","90,809,813","1,000,100","1,000,100","1,628,191","2,292,406","2,628,291","3,292,506","35,520,894","33,486,340","-137,682","314,040","-343,537","231,801"
734,2010,CONSTRUCTION ,"1,000,002",GOOD,"456,000",60,"380,948","208,632","932,406","2,545,642","1,313,354","2,754,274","1,553,878","1,729,131","1,553,878","1,729,131","100,000","1,000,000","-340,524","25,143","-240,524","1,025,143","9,122,176","10,692,367","103,668","481,301","71,568","365,667"
735,2009,CONSTRUCTION ,"100,000",GOOD,"279,000",48,"169,216","1,143,610","498,971","935,516","668,187","2,079,126","2,504,700","2,743,749","2,761,529","3,470,080","100,000","100,000","-2,193,342","-1,490,954","-2,093,342","-1,390,954","1,353,383","3,188,034","-510,621","398,668","-549,664","702,388"
736,1992,CONSTRUCTION ,"3,000,000",GOOD,"490,560",36,"5,496,555","6,096,520","35,935,707","60,415,508","41,432,262","66,512,028","29,732,715","54,748,426","34,664,973","59,957,659","3,000,000","3,000,000","3,767,289","3,554,369","6,767,289","6,554,369","23,208,577","55,794,964","80,640","170,080","-329,495","-212,920"
737,2003,CONSTRUCTION ,"3,000,000",GOOD,"438,000",36,"8,675,445","8,470,389","6,780,172","9,874,521","15,455,617","18,344,910","5,880,436","8,238,444","7,386,892","9,852,635","3,000,000","3,000,000","5,068,725","5,492,275","8,068,725","8,492,275","11,201,996","8,067,311","437,418","515,467","361,641","423,550"
738,2013,CONSTRUCTION ,"100,000",GOOD,"473,000",40,"1,036,051","1,227,108","978,685","1,514,610","2,014,736","2,741,718","1,263,465","1,892,678","1,697,074","2,388,032","100,000","100,000","217,662","253,686","317,662","353,686","2,224,737","3,021,084","51,448","46,619","40,457","36,024"
739,1993,CONSTRUCTION ,"1,000,001",GOOD,"159,480",36,"2,328,328","4,074,453","11,164,704","11,352,309","13,493,032","15,426,762","8,286,705","10,338,460","8,792,187","11,003,652","1,000,000","1,000,000","3,700,845","3,423,110","4,700,845","4,423,110","8,637,820","23,539,188","-1,134,985","-318,460","-816,884","-277,735"
740,2004,CONSTRUCTION ,"1,000,001",GOOD,"85,000",24,"401,692","355,823","540,668","510,670","942,360","866,493","643,487","501,967","900,343","704,105","100,000","300,000","-57,983","-137,612","42,017","162,388","1,581,798","3,183,543","-120,098","-79,629","-113,181","-79,629"
741,2011,CONSTRUCTION ,"300,001",GOOD,"260,000",36,"1,971,671","2,755,435","104,940","572,484","2,076,611","3,327,919","1,816,632","3,107,126","2,108,410","3,258,310","200,000","200,000","-231,799","-130,391","-31,799","69,609","454,300","1,585,218","-278,021","101,408","-278,021","101,408"
742,1999,LAND TRANSPORT ,"250,003",GOOD,"740,800",60,"88,228","74,314","149,262","100,529","237,490","174,843","41,476","36,576","109,477","87,616","250,002","250,002","-121,989","-162,775","128,013","87,227","848,403","366,569","51,419","-46,084","39,269","-40,786"
743,2006,LAND TRANSPORT ,"400,004",GOOD,"380,000",60,"273,571","81,022","89,575","67,581","363,146","148,603","622,834","418,509","752,693","448,811",3,3,"-389,550","-300,211","-389,547","-300,208","1,224,546","1,174,329","122,199","89,339","122,199","89,339"
744,1997,LAND TRANSPORT ,"3,000,001",GOOD,"28,055",60,"919,216","788,850","2,355,183","2,203,906","3,274,399","2,992,756","798,838","641,728","1,489,593","641,728","1,000,000","1,000,000","784,806","775,791","1,784,806","1,775,791","5,862,178","4,389,214","54,371","30,436","11,397","-9,015"
745,2002,LAND TRANSPORT ,"780,003",GOOD,"394,000",36,"1,232,430","1,020,896","1,447,979","1,038,472","2,680,408","2,059,367","2,138,781","1,855,372","2,758,172","2,227,368","680,002","680,002","-757,766","-848,002","-77,764","-168,000","3,976,626","2,282,589","-105,763","-86,965","-109,840","-90,237"
746,1978,LAND TRANSPORT ,"250,001",GOOD,"88,000",36,"79,652","124,168","54,179","38,995","133,831","163,164","142,597","119,901","204,237","231,777","93,700","93,700","-164,106","-162,313","-70,406","-68,613","1,116,074","1,124,783","1,094","1,793","1,094","1,793"
747,2011,LAND TRANSPORT ,"250,002",GOOD,"186,000",60,"1,116,932","759,860","352,695","325,934","1,469,627","1,085,794","600,100","852,850","1,509,095","1,413,970","200,000","250,000","-239,468","-578,176","-39,468","-328,176","1,963,224","2,002,100","-211,870","-185,152","-224,964","-185,152"
748,2012,LAND TRANSPORT ,"1,230,002",GOOD,"297,600",48,"1,925,185","4,421,238","1,199,240","703,834","3,124,425","5,125,072","1,266,438","2,538,881","2,522,050","5,430,645","500,000","500,000","102,375","-805,573","602,375","-305,573","26,413,577","11,302,312","138,161","-905,328","66,898","-907,948"
749,2005,LAND TRANSPORT ,"1,000,002",GOOD,"820,400",60,"1,475,741","1,540,493","920,214","905,793","2,395,955","2,446,286","1,290,533","1,298,640","2,481,455","2,246,660","700,000","1,000,000","-785,500","-800,374","-85,500","199,626","2,755,817","2,868,079","4,537","7,713","-25,803","-14,874"
750,2009,LAND TRANSPORT ,"100,002",GOOD,"85,000",30,n.a.,"456,000","33,634","50,605","33,634","506,605","4,158","100,412","4,158","510,311","100,000","100,000",n.a.,"-103,706","29,476","-3,706","221,406","251,249","-48,025","1,306","-48,025","-33,182"
751,1990,LAND TRANSPORT ,"500,002",GOOD,"472,500",36,"358,585","507,104","496,745","466,722","855,330","973,826","621,896","731,859","878,286","1,025,798","150,000","150,000","-172,956","-201,972","-22,956","-51,972","2,031,150","1,871,697","-39,142","-24,303","-41,110","-29,016"
752,2003,LAND TRANSPORT ,"250,000",GOOD,"2,872,800",48,"2,453,623","1,571,007","4,389,922","4,299,233","6,843,545","5,870,240","3,996,692","4,063,253","5,850,725","5,094,276","250,000","250,000","742,820","525,964","992,820","775,964","14,772,531","13,679,163","197,474","-223,833","102,394","-216,856"
753,2009,LAND TRANSPORT ,"300,000",GOOD,"820,000",60,"882,354","994,654","182,937","146,602","1,065,291","1,141,256","210,933","334,396","707,373","834,618","300,000","300,000","57,918","6,638","357,918","306,638","798,798","936,966","5,815","-51,280","4,431","-51,280"
754,1990,LAND TRANSPORT ,"350,002",GOOD,"810,000",36,"2,315,324","2,700,779","1,344,392","1,638,575","3,659,716","4,339,354","912,554","1,125,154","1,076,837","1,558,494","350,002","350,002","2,232,877","2,430,858","2,582,879","2,780,860","4,184,164","4,225,042","214,660","243,154","156,088","197,981"
755,2000,LAND TRANSPORT ,"250,000",GOOD,"653,000",60,"1,451,704","1,226,627","1,050,881","788,902","2,502,585","2,015,529","1,894,782","1,472,674","2,711,364","2,345,934","200,000","250,000","-408,779","-580,405","-208,779","-330,405","3,787,165","3,603,178","92,891","-158,664","29,920","-177,285"
756,2007,LAND TRANSPORT ,"850,000",GOOD,"473,064",48,"1,117,023","1,492,819","1,584,717","2,489,580","2,701,740","3,982,399","2,187,754","2,665,770","2,719,657","3,837,397","250,000","650,000","-267,917","-504,998","-17,917","145,002","4,219,337","4,474,332","410,231","-16,654","291,665","-61,365"
757,1995,LAND TRANSPORT ,"250,000",GOOD,"747,066",36,"2,698,141","2,130,410","2,683,822","1,877,162","5,381,963","4,007,572","3,918,157","4,215,059","4,484,716","4,498,598","250,000","250,000","647,247","-741,026","897,247","-491,026","13,805,474","10,991,350","400,317","-1,314,036","455,280","-1,388,273"
758,2010,LAND TRANSPORT ,"250,000",GOOD,"517,365",36,"676,717","643,533","1,135,254","1,523,759","1,811,971","2,167,292","1,124,015","1,223,627","1,463,222","1,573,662","250,000","250,000","98,749","343,630","348,749","593,630","2,955,938","3,376,970","176,201","309,393","126,093","244,881"
759,2013,LAND TRANSPORT ,"100,000",GOOD,"654,350",40,"682,532","846,238","712,970","679,305","1,395,502","1,525,543","681,025","882,696","1,447,390","2,051,155","100,000","100,000","-151,888","-625,612","-51,888","-525,612","2,584,198","2,063,932","-118,822","-473,724","-118,822","-473,724"
760,2006,LAND TRANSPORT ,"1,000,001",GOOD,"386,000",60,"147,697","173,875","678,276","542,580","825,973","716,455","371,236","322,940","479,987","611,898","100,000","100,000","245,986","4,557","345,986","104,557","2,499,377","2,070,637","68,616","-65,737","42,889","-71,429"
761,2007,LAND TRANSPORT ,"500,001",GOOD,"480,000",60,"275,332","575,642","386,191","772,639","661,523","1,348,281","221,427","312,740","467,142","901,439","250,000","500,000","-55,619","-53,158","194,381","446,842","1,158,829","1,528,079","7,493","4,461","4,493","2,461"
762,2007,LAND TRANSPORT ,"500,001",GOOD,"305,000",60,"21,983","27,040","356,258","302,487","378,241","329,527","48,484","47,291","100,363","88,409","250,000","250,000","27,878","-8,882","277,878","241,118","186,516","85,521","21,350","-36,767","21,050","-36,760"
763,2014,LAND TRANSPORT ,"600,002",GOOD,"200,000",60,"7,907","172,774","337,111","319,641","345,018","492,415","97,626","127,345","114,358","266,859","250,000","300,000",n.a.,"-74,444","230,660","225,556","873,120","1,977,372","-19,340","-55,104","-19,340","-55,104"
764,1992,LAND TRANSPORT ,"250,002",GOOD,"234,000",36,"990,547","756,054","1,319,444","2,946,886","2,309,991","3,702,940","1,178,467","2,469,174","1,679,492","2,805,872","250,000","250,000","380,499","647,068","630,499","897,068","5,130,578","5,891,032","488,136","742,363","375,388","566,569"
765,2007,LAND TRANSPORT ,"500,002",GOOD,"1,380,000",60,"522,750","2,990,453","286,931","45,491","809,681","3,035,944","103,437","1,589,112","452,806","3,080,673","500,000","500,000","-143,125","-544,729","356,875","-44,729",n.a.,"801,421","-57,648","-401,604","-60,325","-401,604"
766,2004,LAND TRANSPORT ,"2,500,002",GOOD,"2,296,320",38,"14,733,140","14,250,180","7,464,353","11,535,321","22,197,493","25,785,501","12,956,188","13,370,026","18,860,135","22,381,942","2,500,000","2,500,000","837,358","903,559","3,337,358","3,403,559","23,760,663","26,945,797","199,530","379,129","-30,841","66,201"
767,1997,LAND TRANSPORT ,"336,002",GOOD,"313,700",39,"722,263","1,052,345","976,665","791,993","1,698,928","1,844,338","1,415,047","1,232,451","1,683,539","1,739,760","320,002","336,002","-304,613","-231,424","15,389","104,578","4,582,991","4,699,118","501,287","169,410","389,271","73,189"
768,2013,LAND TRANSPORT ,"250,000",GOOD,"364,280",52,"546,295","513,730","418,252","1,033,162","964,547","1,546,892","284,448","539,046","686,913","888,304","100,100","250,000","177,534","408,588","277,634","658,588","3,381,189","7,970,149","92,294","459,866","30,762","361,184"
769,2011,LAND TRANSPORT ,"500,001",GOOD,"613,380",42,"1,591,888","833,516","1,091,058","1,134,176","2,682,946","1,967,692","1,893,197","2,128,579","2,719,713","2,417,029","500,000","500,000","-536,767","-949,337","-36,767","-449,337","20,292,203","1,283,479","-536,767","-412,570","-536,767","-412,570"
